sourceID,project,destinationID,Size
Analytics and Data Science Institute,Equifax Lab,Coles College of Business/College of Computing and Software Engineering/College of Science and Mathematics,260
Analytics and Data Science Institute,Novelis Lab,College of the Humanities and Social Sciences,60
Analytics and Data Science Institute,Emerson Lab,Coles College of Business,60
Analytics and Data Science Institute,GE Lab,College of Computing and Software Engineering,90
Analytics and Data Science Institute,Flock Financial Lab,College of Science and Mathematics,16
Analytics and Data Science Institute,Fortiva Lab,College of Science and Mathematics,50
Analytics and Data Science Institute,Wellstar Lab,Wellstar College of Health and Human Services,14
Analytics and Data Science Institute,BCBS TN Lab,College of Science and Mathematics/College of Science and Mathematics,70
Analytics and Data Science Institute,Cobb County Fire Department,College of Science and Mathematics/Southernpolytechnic College of Engineering,1
Analytics and Data Science Institute,MagMutual,Coles College of Business,110
Analytics and Data Science Institute,Department of Juvenile Justice,College of Computing and Software Engineering,38
Analytics and Data Science Institute,NSF STEM Education Policy Grant,College of Science and Mathematics/Bagwell College of Education,105
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
